probe,F,symbol,known
11754260_a_at,7.67915145629188,NBR2,False
11745262_at,7.677788505425561,IGHV5-78,False
11726459_at,7.6763397556972,FAM117B,False
11732862_a_at,7.671456865092554,C2orf74,False
11744049_at,7.66842065196686,MAP1B,False
11747425_a_at,7.653444800175187,NUP214,False
11750521_a_at,7.6491819093877735,KCNIP4,False
11752332_x_at,7.6483559994423596,MEFV,False
11729148_a_at,7.6464972952770225,SMDT1,False
11738623_s_at,7.638032040881451,ZNF268,False
11720736_a_at,7.637404333057196,LRRC14,False
11722540_a_at,7.632996890529761,LCLAT1,False
11742911_at,7.631230472871073,IGSF6,False
11739493_at,7.6311662754808545,MGAT4A,False
11723073_at,7.630340673758832,BCL9L,False
11740431_s_at,7.615891482932319,ZFP62,False
11729274_a_at,7.613483840483785,GBP5,False
11756201_x_at,7.607296201717072,CHI3L2,False
11754095_a_at,7.601652634469767,TAGLN,False
11726437_a_at,7.601078514576291,CMTM8,False
11742910_a_at,7.599572885517346,ANKRD50,False
11747921_a_at,7.594990798407195,PUS1,False
11732231_a_at,7.589638742319964,ORAI2,False
11739773_a_at,7.587979643467158,SNX20,False
11755169_s_at,7.578014073966657,RP9,False
11738124_x_at,7.575291074739206,SIGLEC10,False
11731508_a_at,7.575207307487977,ZNF649,False
11752799_at,7.572696466737799,LOC100131131,False
11716263_s_at,7.5687754489971075,LEPROTL1,False
11754207_a_at,7.5669117187626025,UBE3D,False
11737978_a_at,7.566696368976201,NIM1K,False
11740295_a_at,7.565201268520646,ZNF30,False
11717155_a_at,7.5582722801505176,NME1,False
11731900_s_at,7.553192506486318,PPAT,False
11749153_a_at,7.552508538036681,KLHL18,False
11744904_a_at,7.539579014825,ORM1,False
11717779_at,7.535948676301948,DHX35,False
11720740_a_at,7.534149675864555,MCF2L,False
11717326_at,7.531108638328922,KLF9,False
11741427_a_at,7.5305016514931395,OSBPL1A,False
11741719_a_at,7.527687087328342,ADAR,False
11721217_s_at,7.52628003413038,TMEM106B,False
11716918_a_at,7.52617100267072,NAGK,False
11742956_a_at,7.52315504931581,ITFG2,False
11721347_a_at,7.522068040150295,MPEG1,False
11762364_at,7.521525233912483,AKAP9,False
11727035_at,7.519663913548115,USP11,False
11724440_at,7.517494045691605,LNX2,False
11739341_a_at,7.5154430409000375,TGDS,False
11717201_at,7.513848380082554,DNTTIP1,False
11717246_x_at,7.513506735909709,LSM4,False
11721657_at,7.510893811738086,LMO4,False
11730700_a_at,7.501098077020289,C11orf49,False
11746118_a_at,7.494920994627069,SYNCRIP,False
11757800_s_at,7.487748497224558,NFIB,False
11722868_a_at,7.48320345686322,RAD1,False
11759281_at,7.474202929927572,SERINC5,False
11753082_a_at,7.462907698199899,ZDHHC15,False
11729687_at,7.460744187198077,LYRM7,False
11715755_a_at,7.456990520680989,ATIC,False
11736619_a_at,7.449397291599271,ALDH5A1,False
11716420_s_at,7.44844366722422,SPTBN1,False
11746458_s_at,7.4392840408560765,LOC102724229,False
11723323_at,7.427331609959553,TDP1,False
11717695_a_at,7.4260416236033855,TYSND1,False
11755697_a_at,7.425967130600011,LGR6,False
11762940_x_at,7.418181788053187,HLA-C,False
11719670_a_at,7.407754252529536,RCAN2,False
11729239_x_at,7.407106166113773,CSRP2,False
11719160_at,7.404127914711234,RAPH1,False
11763381_a_at,7.403334618753438,STYXL1,False
11724164_a_at,7.398951913016444,RUBCN,False
11729576_a_at,7.398649779448972,TM9SF4,False
11733971_s_at,7.394911453417479,PCDH18,False
